k (Mpc^-1)  P_21 (mK^2)  P_noise (mK^2)  Delta P_thermal (mK^2)  Delta P_sample (mK^2)
     0.068000004      0.23794223     0.088265761    0.0098641740    0.0042214058
      0.19804496       6.9751445       2.3558220      0.42830484      0.19997919
      0.27411638       14.434246       5.6488686      0.88759516      0.46609538
      0.32808991       29.132453       9.7687307       2.1515852       1.2607617
      0.36995503       674.42080       191.96548       84.412198       36.199299
      0.40416133            -NaN            -NaN        Infinity            -NaN
      0.43308234            -NaN            -NaN        Infinity            -NaN
      0.45813486            -NaN            -NaN        Infinity            -NaN
      0.48023275            -NaN            -NaN        Infinity            -NaN
      0.49999999            -NaN            -NaN        Infinity            -NaN
