k (Mpc^-1)  P_FG (mK^2)  P_21 (mK^2)  Delta P_sample (mK^2)
     0.068000004       19262.399      0.32889736     0.034477809
      0.19804496       5080.1608      0.60017992     0.046167686
      0.27411638       2035.9357       3.4660133      0.24569917
      0.32808991       2505.0318       12.467447      0.89053195
      0.36995503       157.82550       1.8536653      0.16257720
      0.40416133       54.431569       1.5576813      0.17986553
      0.43308234       62.317367       2.5928250      0.34648081
      0.45813486       91.833087       3.7620891      0.60241638
      0.48023275       866.19422       13.027052       2.9129374
      0.49999999            -NaN            -NaN            -NaN
