k (Mpc^-1)  P_FG (mK^2)  P_21 (mK^2)  P_noise (mK^2)  Delta P_thermal (mK^2)  Delta P_sample (mK^2)
     0.068000004       19269.650      0.39103396      0.13563902    0.0093776210     0.019942447
      0.19804496       5092.4801       6.3422608       4.0525529      0.32911568      0.25539307
      0.27411638       2034.3285       20.138195       10.466527      0.97492252      0.75048184
      0.32808991       2508.7567       44.486357       17.687911       2.1463850       1.6733776
      0.36995503       158.70083       51.798110       28.642092       4.3407543       2.1707015
      0.40416133       68.608108       316.33081       88.003403       18.118126       17.181765
      0.43308234       139.46358       687.49440       257.84617       63.973698       43.570084
      0.45813486       295.52702       1743.4009       715.10931       211.42117       127.69625
      0.48023275       2547.4316       12171.747       4143.6509       1590.6012       1225.8038
      0.49999999            -NaN            -NaN            -NaN        Infinity            -NaN
