 6.80000000E-02   8.299039364818503E+01   6.111547899011314E-01
 8.48755042E-02   1.660367968781479E+02   1.152825463574729E+00
 1.05938988E-01   3.328183235849497E+02   1.861740400596064E+00
 1.32229780E-01   6.561724686480005E+02   2.994329826839178E+00
 1.65045137E-01   1.303345654814695E+03   5.138861192693047E+00
 2.06004253E-01   2.538824037304155E+03   8.532635043018198E+00
 2.57128159E-01   4.953462877299630E+03   1.533880027482598E+01
 3.20939443E-01   9.499698866459035E+03   2.708184038799383E+01
 4.00586722E-01   1.859424010781293E+04   5.296523402153559E+01
 5.00000000E-01   3.951446727648712E+04   3.455821155368222E+02
