 6.80000000E-02   8.203987849213009E+00   6.013709840626141E-02
 8.48755042E-02   1.642978389720479E+01   1.146465120185877E-01
 1.05938988E-01   3.305339363289043E+01   1.857494129490244E-01
 1.32229780E-01   6.522548240403189E+01   2.962472176561327E-01
 1.65045137E-01   1.303975855376854E+02   5.100409918914177E-01
 2.06004253E-01   2.539221945170643E+02   8.495248822228092E-01
 2.57128159E-01   4.967628429938363E+02   1.535560031122540E+00
 3.20939443E-01   9.514504959810969E+02   2.722902177219909E+00
 4.00586722E-01   1.847788729743150E+03   5.304638937739996E+00
 5.00000000E-01   3.958109921547994E+03   3.441395072986761E+01
