# kperp 	kpar 		P 		P_{err}
4.5900e-02	4.7400e-02	4.0228e+04	3.2846e+04
9.1800e-02	4.7400e-02	6.4523e+03	5.2682e+03
1.3770e-01	4.7400e-02	6.0282e+03	4.9220e+03
1.8360e-01	4.7400e-02	2.2326e+03	1.8229e+03
2.2950e-01	4.7400e-02	1.4442e+03	1.1792e+03
2.7540e-01	4.7400e-02	1.0463e+03	8.5428e+02
3.2130e-01	4.7400e-02	8.5173e+02	6.9543e+02
3.6720e-01	4.7400e-02	1.1076e+03	9.0433e+02
4.1310e-01	4.7400e-02	3.7074e+02	3.0271e+02
4.5900e-01	4.7400e-02	1.1321e+03	9.2436e+02
4.5900e-02	5.4960e-02	1.0121e+04	7.1564e+03
9.1800e-02	5.4960e-02	7.1137e+03	5.0301e+03
1.3770e-01	5.4960e-02	3.4610e+03	2.4473e+03
1.8360e-01	5.4960e-02	1.0065e+03	7.1168e+02
2.2950e-01	5.4960e-02	9.4438e+02	6.6777e+02
2.7540e-01	5.4960e-02	1.1605e+03	8.2060e+02
3.2130e-01	5.4960e-02	1.6651e+02	1.1774e+02
3.6720e-01	5.4960e-02	5.2936e+02	3.7432e+02
4.1310e-01	5.4960e-02	4.9590e+02	3.5066e+02
4.5900e-01	5.4960e-02	2.9876e+02	2.1126e+02
4.5900e-02	6.2520e-02	6.9228e+03	4.3784e+03
9.1800e-02	6.2520e-02	2.6174e+03	1.6554e+03
1.3770e-01	6.2520e-02	6.7463e+02	4.2668e+02
1.8360e-01	6.2520e-02	2.8718e+02	1.8163e+02
2.2950e-01	6.2520e-02	3.5514e+02	2.2461e+02
2.7540e-01	6.2520e-02	2.7438e+02	1.7353e+02
3.2130e-01	6.2520e-02	1.8728e+02	1.1845e+02
3.6720e-01	6.2520e-02	2.2688e+02	1.4349e+02
4.1310e-01	6.2520e-02	1.7701e+02	1.1195e+02
4.5900e-01	6.2520e-02	1.4053e+02	8.8879e+01
4.5900e-02	7.0080e-02	3.8355e+03	2.2144e+03
9.1800e-02	7.0080e-02	1.1357e+03	6.5569e+02
1.3770e-01	7.0080e-02	6.1730e+02	3.5640e+02
1.8360e-01	7.0080e-02	2.1441e+02	1.2379e+02
2.2950e-01	7.0080e-02	1.5031e+02	8.6783e+01
2.7540e-01	7.0080e-02	2.6941e+02	1.5554e+02
